lon,lat,period,zone
35.84854773,32.83901237,Early Pliocene,1
35.84896034,32.8403574,Early Pliocene,1
35.84891793,32.84122474,Early Pliocene,1
35.84889302,32.84198653,Early Pliocene,1
35.84906757,32.8437891,Early Pliocene,1
35.84911607,32.84485467,Early Pliocene,1
35.84937863,32.84673861,Early Pliocene,1
35.84958287,32.848204,Early Pliocene,1
35.84976073,32.84946772,Early Pliocene,1
35.85019878,32.85073407,Early Pliocene,1
35.85085614,32.85176218,Early Pliocene,1
35.85123259,32.8526008,Early Pliocene,1
35.85220402,32.85403681,Early Pliocene,1
35.8532986,32.85458175,Early Pliocene,1
35.85429759,32.8544773,Early Pliocene,1
35.85579585,32.85432063,Early Pliocene,1
35.85729383,32.85416398,Early Pliocene,1
35.85792069,32.85323584,Early Pliocene,1
35.85836875,32.85278099,Early Pliocene,1
35.85944323,32.85139751,Early Pliocene,1
35.85932437,32.85055516,Early Pliocene,1
35.85942255,32.84932264,Early Pliocene,1
35.8594437,32.84862386,Early Pliocene,1
35.85951961,32.84758127,Early Pliocene,1
35.85952257,32.84728519,Early Pliocene,1
35.85927338,32.84640922,Early Pliocene,1
35.85793738,32.84316497,Early Pliocene,1
35.85746675,32.84184248,Early Pliocene,1
35.85702724,32.84058343,Early Pliocene,1
35.85637215,32.83956622,Early Pliocene,1
35.85596519,32.83852282,Early Pliocene,1
35.85574089,32.83702235,Early Pliocene,1
35.85551355,32.83551707,Early Pliocene,1
35.85612633,32.8345788,Early Pliocene,1
35.85704999,32.83404222,Early Pliocene,1
35.85772635,32.83353319,Early Pliocene,1
35.8593936,32.83292358,Early Pliocene,1
35.86054392,32.83217119,Early Pliocene,1
35.86097861,32.83170041,Early Pliocene,1
35.8615874,32.83076372,Early Pliocene,1
35.86190657,32.82962537,Early Pliocene,1
35.86180314,32.82897657,Early Pliocene,1
35.86165152,32.82792813,Early Pliocene,1
35.86150721,32.82672862,Early Pliocene,1
35.86069282,32.82604159,Early Pliocene,1
35.86016459,32.82571556,Early Pliocene,1
